Date,Open,High,Low,Close,Adj Close,Volume
2011-05-01,59.169998,59.340000,56.470001,58.360001,52.756824,1054622500
2011-06-01,58.220001,58.360001,53.619999,57.049999,51.572617,1155628500
2011-07-01,57.080002,59.830002,56.869999,58.000000,52.548981,1277418400
2011-08-01,58.700001,58.820000,49.930000,55.060001,49.885292,2526145600
2011-09-01,55.200001,57.349998,51.910000,52.490002,47.556828,1666877800
2011-10-01,52.020000,59.200001,50.099998,57.950001,52.601051,1616785100
2011-11-01,56.520000,58.980000,52.869999,56.389999,51.185043,1295070500
2011-12-01,56.380001,57.619999,54.169998,55.830002,50.676731,1004361600
2012-01-01,56.910000,60.860001,56.560001,60.529999,55.153172,828883900
2012-02-01,60.880001,64.959999,60.660000,64.410004,58.688526,1018602500
2012-03-01,64.650002,68.510002,63.230000,67.550003,61.549606,1070054300
2012-04-01,67.480003,68.550003,64.449997,66.760002,60.933037,1056184900
2012-05-01,66.690002,67.629997,60.759998,62.060001,56.643261,1300328800
2012-06-01,60.939999,64.570000,60.040001,64.160004,58.559975,973815200
2012-07-01,64.250000,65.309998,61.860001,64.800003,59.280052,860805100
2012-08-01,65.260002,68.879997,63.910000,68.160004,62.353828,679866200
2012-09-01,68.029999,70.580002,67.419998,68.570000,62.728920,639521900
2012-10-01,68.900002,69.800003,64.650002,64.949997,59.586708,863124200
2012-11-01,65.360001,66.209999,61.310001,65.800003,60.366539,901783900
2012-12-01,66.309998,66.760002,63.580002,65.129997,59.751865,815856000
2013-01-01,66.730003,67.790001,66.169998,66.870003,61.689861,741836700
2013-02-01,67.339996,68.260002,65.959999,67.099998,61.902031,656562100
2013-03-01,66.870003,69.059998,66.540001,68.970001,63.627171,557979300
2013-04-01,69.019997,70.730003,66.879997,70.720001,65.392593,835537700
2013-05-01,70.739998,74.949997,70.250000,73.250000,67.731995,680414200
2013-06-01,73.260002,73.820000,69.150002,71.269997,65.901192,748561600
2013-07-01,71.750000,76.209999,71.349998,75.769997,70.283829,581695700
2013-08-01,76.290001,77.279999,74.959999,75.470001,70.005569,529245500
2013-09-01,76.089996,79.690002,75.540001,78.879997,73.168655,503988800
2013-10-01,78.889999,83.489998,76.349998,82.790001,77.026146,817353700
2013-11-01,83.070000,85.839996,81.370003,85.730003,79.761444,542339400
2013-12-01,85.830002,87.959999,84.050003,87.959999,81.836205,651649200
2014-01-01,87.550003,89.000000,84.760002,86.269997,80.518814,831732700
2014-02-01,86.110001,90.959999,83.739998,90.339996,84.317482,713558700
2014-03-01,89.489998,91.360001,86.400002,87.669998,82.165154,809345400
2014-04-01,88.099998,89.680000,83.279999,87.389999,82.090019,1141398200
2014-05-01,87.529999,91.449997,85.529999,91.309998,85.772293,789193700
2014-06-01,91.419998,94.139999,90.639999,93.910004,88.214630,567012900
2014-07-01,94.239998,97.510002,93.629997,95.019997,89.497131,661530400
2014-08-01,94.820000,99.910004,93.889999,99.779999,93.980476,645904700
2014-09-01,100.019997,100.559998,97.699997,98.790001,93.048004,755958700
2014-10-01,98.510002,101.750000,90.239998,101.400002,95.733528,1285037500
2014-11-01,101.580002,106.250000,100.669998,106.010002,100.085915,434990100
2014-12-01,105.720001,105.919998,99.919998,103.250000,97.480148,815702200
2015-01-01,103.760002,104.580002,99.360001,101.099998,95.805939,826291600
2015-02-01,101.330002,108.940002,99.750000,108.400002,102.723694,472456500
2015-03-01,108.610001,109.419998,104.239998,105.599998,100.070305,633635600
2015-04-01,105.599998,111.160004,104.339996,107.629997,102.228569,568699300
2015-05-01,108.050003,111.080002,106.000000,110.050003,104.527130,518233500
2015-06-01,110.639999,111.129997,106.639999,107.070000,101.696671,577030600
2015-07-01,108.129997,114.389999,105.830002,111.949997,106.576332,644885700
2015-08-01,111.970001,113.000000,84.739998,104.309998,99.303062,1010304800
2015-09-01,101.709999,108.730003,98.750000,101.760002,96.875481,881201500
2015-10-01,101.940002,114.080002,100.480003,113.330002,108.152588,740627200
2015-11-01,113.629997,115.470001,109.480003,114.019997,108.811058,543413300
2015-12-01,114.480003,115.750000,109.379997,111.860001,106.749756,757497500
2016-01-01,109.449997,110.180000,97.250000,104.129997,99.676384,1077308200
2016-02-01,103.629997,104.800003,94.839996,102.500000,98.116089,942259600
2016-03-01,103.480003,110.040001,103.160004,109.199997,104.529518,601605100
2016-04-01,108.540001,111.440002,104.879997,105.720001,101.498558,559253800
2016-05-01,105.989998,110.510002,104.400002,110.339996,105.934059,536482700
2016-06-01,110.000000,110.750000,101.750000,107.540001,103.245903,577926300
2016-07-01,107.489998,115.540001,106.570000,115.230003,110.923500,421072600
2016-08-01,115.309998,118.010002,114.220001,116.440002,112.088264,369269900
2016-09-01,116.480003,119.220001,113.629997,118.720001,114.283066,540756600
2016-10-01,118.570000,119.660004,115.940002,116.989998,112.899864,406941800
2016-11-01,117.190002,119.510002,113.449997,117.500000,113.392021,598118800
2016-12-01,117.459999,121.519997,115.220001,118.480003,114.337769,498414300
2017-01-01,119.269997,125.919998,118.889999,124.570000,120.570358,366254600
2017-02-01,125.449997,130.699997,124.860001,130.020004,125.845367,307437600
2017-03-01,130.850006,132.740005,129.399994,132.380005,128.129578,442963500
2017-04-01,132.490005,136.339996,130.380005,135.990005,131.897461,388248100
2017-05-01,136.440002,141.839996,135.869995,141.289993,137.037979,532489700
2017-06-01,141.580002,143.899994,136.250000,137.639999,133.497803,1046003200
2017-07-01,138.270004,145.960007,135.800003,143.229996,139.298035,705002300
2017-08-01,143.720001,146.210007,140.179993,146.199997,142.186508,810771900
2017-09-01,146.389999,146.589996,142.100006,145.449997,141.457062,631562000
2017-10-01,145.669998,152.369995,144.929993,152.149994,148.297043,549094600
2017-11-01,152.759995,156.690002,150.770004,155.149994,151.221069,584198400
2017-12-01,154.199997,158.770004,152.059998,155.759995,151.815643,622383900
2018-01-01,156.559998,170.949997,156.169998,169.399994,165.455521,698394900
2018-02-01,168.100006,170.729996,150.130005,167.210007,163.316528,1179841200
2018-03-01,167.300003,175.210007,156.039993,160.130005,156.401367,1085306700
2018-04-01,158.990005,167.000000,153.880005,160.940002,157.447525,987380500
2018-05-01,160.520004,171.199997,159.220001,170.070007,166.379379,687987000
2018-06-01,170.919998,177.979996,169.169998,171.649994,167.925095,784338500
2018-07-01,170.039993,182.929993,169.669998,176.449997,172.990402,708010500
2018-08-01,176.860001,187.520004,175.789993,186.649994,182.990433,667523000
2018-09-01,186.080002,186.490005,180.440002,185.789993,182.147278,645534400
2018-10-01,186.869995,187.529999,160.089996,169.820007,166.790024,1817070600
2018-11-01,170.070007,175.580002,157.130005,169.369995,166.348053,1152121500
2018-12-01,173.110001,173.309998,143.460007,154.259995,151.507645,1395544900
2019-01-01,150.990005,168.990005,149.490005,168.160004,165.632172,933706500
2019-02-01,167.330002,174.660004,166.570007,173.190002,170.586548,535964100
2019-03-01,174.440002,182.830002,169.339996,179.660004,176.959274,781972700
2019-04-01,181.509995,191.320007,180.770004,189.539993,187.030533,550157700
2019-05-01,190.779999,191.320007,173.869995,173.949997,171.646942,901554000
2019-06-01,173.479996,189.770004,169.270004,186.740005,184.267593,688730400
2019-07-01,190.320007,195.550003,188.380005,191.100006,188.986816,494025500
2019-08-01,191.429993,194.979996,179.199997,187.470001,185.396942,814286500
2019-09-01,186.220001,194.710007,185.029999,188.809998,186.722122,550650200
2019-10-01,189.500000,197.830002,181.820007,197.080002,195.293701,576983400
2019-11-01,197.929993,206.050003,197.630005,205.100006,203.241013,351429700
2019-12-01,205.110001,214.559998,199.229996,212.610001,210.682938,429951100
2020-01-01,214.399994,225.880005,212.240005,219.070007,217.555054,585331700
2020-02-01,220.139999,237.470001,198.169998,205.800003,204.376816,953525400
2020-03-01,208.880005,219.610001,164.929993,190.399994,189.083313,2191775700
2020-04-01,184.770004,220.039993,180.860001,218.910004,217.859436,1091909700
2020-05-01,214.500000,233.600006,211.119995,233.360001,232.240097,847090400
2020-06-01,232.460007,251.149994,231.470001,247.600006,246.411758,928360400
2020-07-01,247.639999,269.790009,247.080002,265.790009,264.974457,925204200
2020-08-01,268.000000,296.750000,264.630005,294.880005,293.975159,701609300
2020-09-01,297.619995,303.500000,260.109985,277.839996,276.987488,1325207600
2020-10-01,281.790009,297.459991,267.070007,269.380005,268.553436,937058600
2020-11-01,271.850006,300.170013,266.970001,299.619995,298.700623,751645800
2020-12-01,301.970001,314.690002,298.089996,313.739990,312.777283,570073400
2021-01-01,315.109985,330.320007,305.179993,314.559998,314.163208,655477200
2021-02-01,318.109985,338.190002,310.880005,314.140015,313.743744,795234100
2021-03-01,319.269989,324.329987,297.450012,319.130005,318.727448,1616571900
2021-04-01,323.070007,342.230011,322.809998,342.010010,342.010010,405660100
2021-04-16,342.149994,342.230011,340.079987,342.010010,342.010010,40860099
